Date,Time
2019-01-27,20:40:29
2019-01-27,20:40:29
2019-01-27,20:40:30
2019-01-27,20:40:30
2019-01-27,20:40:30
2019-01-27,20:40:30
2019-01-27,20:40:30
2019-01-27,20:40:30
2019-01-27,20:40:30
2019-01-27,20:40:30
2019-01-27,20:40:30
2019-01-27,20:40:30
2019-01-27,20:40:30
2019-01-27,20:40:31
2019-01-27,20:40:31
2019-01-27,20:40:31
2019-01-27,20:40:31
2019-01-27,20:40:31
2019-01-27,20:40:31
2019-01-27,20:40:31
2019-01-27,20:40:31
2019-01-27,20:40:31
2019-01-27,20:40:35
2019-01-27,20:40:35
2019-01-27,20:40:35
2019-01-27,20:40:35
2019-01-27,20:40:35
2019-01-27,20:40:35
2019-01-27,20:40:36
2019-01-27,20:40:36
2019-01-27,20:40:36
2019-01-27,20:40:36
2019-01-27,20:40:36
2019-01-27,20:40:36
2019-01-27,20:40:36
2019-01-27,20:40:36
2019-01-27,20:40:36
2019-01-27,20:40:37
2019-01-27,20:40:37
2019-01-27,20:40:37
2019-01-27,20:40:37
2019-01-27,20:40:37
2019-01-27,20:40:37
2019-01-27,20:40:37
2019-01-27,20:40:37
2019-01-27,20:40:37
2019-01-27,20:40:37
2019-01-27,20:40:37
2019-01-27,20:40:38
2019-01-27,20:40:38
2019-01-27,20:40:38
2019-01-27,20:40:38
2019-01-27,20:40:38
2019-01-27,20:40:38
2019-01-27,20:40:38
2019-01-27,20:40:38
2019-01-27,20:40:38
2019-01-27,20:40:38
2019-01-27,20:40:38
2019-01-27,20:40:39
2019-01-27,20:40:39
2019-01-27,20:40:39
2019-01-27,20:40:39
2019-01-27,20:40:39
2019-01-27,20:40:39
2019-01-27,20:40:39
2019-01-27,20:40:39
2019-01-27,20:40:39
2019-01-27,20:40:39
2019-01-27,20:40:39
2019-01-27,20:40:40
2019-01-27,20:40:40
2019-01-27,20:40:40
2019-01-27,20:40:40
2019-01-27,20:40:40
2019-01-27,20:40:40
2019-01-27,20:40:40
2019-01-27,20:40:40
2019-01-27,20:40:40
2019-01-27,20:40:40
2019-01-27,20:40:40
2019-01-27,20:40:40
2019-01-27,20:40:41
2019-01-27,20:40:41
2019-01-27,20:40:41
2019-01-27,20:40:41
2019-01-27,20:40:42
2019-01-27,20:40:42
2019-01-27,20:40:42
2019-01-27,20:40:42
2019-01-27,20:40:42
2019-01-27,20:40:42
2019-01-27,20:40:42
2019-01-27,20:40:42
2019-01-27,20:40:43
2019-01-27,20:40:43
2019-01-27,20:40:43
2019-01-27,20:40:43
2019-01-27,20:40:43
2019-01-27,20:40:43
2019-01-27,20:40:43
2019-01-27,20:40:43
2019-01-27,20:40:43
2019-01-27,20:40:50
2019-01-27,20:40:50
2019-01-27,20:40:51
2019-01-27,20:40:51
2019-01-27,20:40:51
2019-01-27,20:40:51
2019-01-27,20:40:51
2019-01-27,20:40:51
2019-01-27,20:40:51
2019-01-27,20:40:51
2019-01-27,20:40:51
2019-01-27,20:40:51
2019-01-27,20:40:52
2019-01-27,20:40:52
2019-01-27,20:40:52
2019-01-27,20:40:52
2019-01-27,20:40:52
2019-01-27,20:40:52
2019-01-27,20:40:52
2019-01-27,20:40:52
2019-01-27,20:40:52
2019-01-27,20:40:52
2019-01-27,20:40:52
2019-01-27,20:40:53
2019-01-27,20:40:53
2019-01-27,20:40:53
2019-01-27,20:40:53
2019-01-27,20:40:53
2019-01-27,20:40:53
2019-01-27,20:40:53
2019-01-27,20:40:54
2019-01-27,20:40:54
2019-01-27,20:40:54
2019-01-27,20:40:54
2019-01-27,20:40:54
2019-01-27,20:40:54
2019-01-27,20:40:54
2019-01-27,20:40:54
